web-scraper-order,web-scraper-start-url,TIENDA,TIENDA-href,PRODUCTOS,PRODUCTOS-href,DESCRIPCION,IMAGEN-src,TEXTOPROD,PRECIO
"1604870620-2145","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción Honey – MOLIDO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/honey340molido/","","","","$26,500"
"1604870740-2234","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tomates deshidratados (125 g)","https://biotico.co/tienda/gourmet/tomates-deshidratados-125-g/","","https://i2.wp.com/biotico.co/wp-content/uploads/2020/08/Tomates-deshidratados-1.jpg?ssl=1","",""
"1604870744-2236","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tomate chonto x 500 g. Producción ecológica.","https://biotico.co/tienda/tomates-de-agricultura-limpia/tomatebtc/","Tomate chonto x 500 g. Producción ecológica.","","",""
"1604870474-2031","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Salsa de soya Teshima – (1 Lt)","https://biotico.co/tienda/aromaticas-y-condimentos/soyateshima1lt/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/08/lt.jpg?ssl=1","",""
"1604870440-2002","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta. 1.000 g Banano criollo ecológico. Unidades Agrícolas Asociadas. Monterrey, Casanare.","https://biotico.co/tienda/frutasbiotico/fruta-banano-criollo-ecologico-unidades-agricolas-asociadas-monterrey-casanare-1-000-g/","","https://i0.wp.com/biotico.co/wp-content/uploads/2018/07/IMG-20171130-WA0008-331335769-1531144792481.jpeg?ssl=1","",""
"1604870354-1936","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Jabón para manos ecológico de Coco y vainilla x 250 mL. Ecolepont","https://biotico.co/tienda/jabon-ecologico/jabonmanoscyv/","","","$",""
"1604870669-2181","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Huevos campesinos -30 unidades. Guateque, Boyacá. Gallinitas de libre pastoreo","https://biotico.co/tienda/huevos-de-gallinas-libres-y-felices/huevos-30-unidades-guateque-boyaca-gallinitas-de-libre-pastoreo/","","","","$19,000"
"1604870733-2229","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Zanahoria orgánica – Verde Fresco Orgánico. Madrid, Cund (500 g)","https://biotico.co/tienda/verduras-organicas-2/zanahoria-organica-certificada-por-ecocert-verde-fresco-organico-madrid-cund-500-g/","","","","$3,500"
"1604870798-2281","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Nira (ajo chino) orgánico. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/nira-x-atado-cebolla-o-ajo-chino-organica-ecocert/","Nira (ajo chino) orgánico. Verde Fresco Orgánico. Madrid, Cund.","","",""
"1604870558-2092","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Té Bitaco -Besos de cacao- Te negro orgánico Bitaco®️ y trozos de cacao de Tumaco 20 g","https://biotico.co/tienda/te/besosdecacao/","Té Bitaco -Besos de cacao- Te negro orgánico Bitaco®️ y trozos de cacao de Tumaco 20 g","","",""
